,,1,,-0.1424,1
',,0.0902,,0.0902,0.0902
'',,0.1642,,0.1642,0.1642
-,,0.1146,,0.1146,0.1146
--,,0.0996,,0.0996,0.0996
--',,-0.0346,,-0.0346,-0.0346
---,,0.0848,,0.0848,0.0848
----,,0.0188,,0.0188,0.0188
-----,,0.0512,,0.0512,0.0512
------,,0.2506,,0.2506,0.2506
----------,,-0.0712,,-0.0712,-0.0712
–,,0.3098,,0.3098,0.3098
—,,0.0684,,0.0684,0.0684
!,,0.0898,,-0.0266,0.0898
!!,,0.0668,,-0.0364,0.0668
!!!,,0.0482,,-0.006,0.0482
!!!!,,0.0272,,-0.1286,0.0272
!!!!!,,0.0228,,0.0228,0.0228
!!!!!!,,0.0318,,0.0318,0.0318
!!!!!!!,,0.0288,,0.0288,0.0288
!!!!!!!!,,0.0566,,0.0566,0.0566
!!!!!!!!!,,-0.0158,,-0.0158,-0.0158
!!!!!!!!!!,,0.0012,,0.0012,0.0012
!!!!!!!!!!!,,-0.0602,,-0.0602,-0.0602
!!!!!!!!!!!!,,-0.0328,,-0.0328,-0.0328
!!!!!!!!!!!!!,,-0.0306,,-0.0306,-0.0306
!!!!!!!!!!!!!!,,-0.0044,,-0.0044,-0.0044
!!!!!!!!!!!!!!!,,-0.0222,,-0.0222,-0.0222
!!!!!!!!!!!!!!!!,,-0.0068,,-0.0068,-0.0068
!!!!!!!!!!!!!!!!!,,-0.0208,,-0.0208,-0.0208
!!!!!!!!!!!!!!!!!!,,0.0226,,0.0226,0.0226
!!!!!!!!!!!!!!!!!!!,,0.06,,0.06,0.06
!!!!!!!!!!!!!!!!!!!!,,0.0098,,0.0098,0.0098
!!!!!!!!!!!!!!!!!!!!!,,-0.1522,,-0.1522,-0.1522
!!!!!!!!!!!!!!!!!!!!!!,,-0.0234,,-0.0234,-0.0234
!!!!!!!!!!!!!!!!!!!!!!!,,0.1272,,0.1272,0.1272
!!!!!!!!!!!!!!!!!!!!!!!!,,0.0462,,0.0462,0.0462
!!!!!!!!!!!!!!!!!!!!!!!!!,,0.172,,0.172,0.172
!!!!!!!!!!!!!!!!!!!!!!!!!!,,-0.1734,,-0.1734,-0.1734
!!!!!!!!!!!!!!!!!!!!!!!!!!!,,0.0544,,0.0544,0.0544
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,-0.2098,,-0.2098,-0.2098
!!!!!...,,-0.0266,,-0.0266,-0.0266
!!!!..,,0.1484,,0.1484,0.1484
!!!!...,,0.0498,,0.0498,0.0498
!!!!....,,-0.25,,-0.25,-0.25
!!!!.....,,-0.1734,,-0.1734,-0.1734
!!!.,,-0.2098,,-0.2098,-0.2098
!!!..,,0.0908,,0.0908,0.0908
!!!...,,0.0124,,0.0124,0.0124
!!!....,,-0.0604,,-0.0604,-0.0604
!!!.....,,-0.0804,,-0.0804,-0.0804
!!!?,,-0.2982,,-0.2982,-0.2982
!!!??,,-0.2674,,-0.2674,-0.2674
!!!???,,-0.1522,,-0.1522,-0.1522
!!!????,,-0.9998,,-0.9998,-0.9998
!!.,,-0.0282,,-0.0282,-0.0282
!!..,,0.0882,,0.0882,0.0882
!!...,,-0.0444,,-0.0444,-0.0444
!!....,,-0.0198,,-0.0198,-0.0198
!!.....,,0.0462,,0.0462,0.0462
!!.......,,-0.9998,,-0.9998,-0.9998
!!?,,-0.0176,,-0.0176,-0.0176
!!??,,-0.1052,,-0.1052,-0.1052
!!???,,-0.406,,-0.406,-0.406
!.,,0.287,,0.1134,0.287
!..,,0.0554,,0.0554,0.0554
!...,,0.0058,,0.0058,0.0058
