(:,0.406,,0.55,0.406,0.55
:),0.484,,0.5,0.484,0.5
:'),0.218,,0.575,0.218,0.575
:-),0.5,,0.325,0.325,0.5
:],0.422,,0.55,0.422,0.55
:p,0.344,,0.25,0.25,0.35
;),0.312,,0.225,0.225,0.312
;-),0.672,,0.25,0.25,0.672
<3,0.532,,0.475,0.475,0.532
accept,0.546,,0.4,0.4,0.546
adorable,0.704,,0.55,0.55,0.704
agree,0.438,,0.375,0.375,0.438
alright,0.312,,0.25,0.25,0.312
amazing,0.968,,0.7,0.7,0.968
amused,0.64,,0.45,0.45,0.64
amusing,0.656,,0.4,0.4,0.656
apologize,0.218,,0.1,0.1,0.218
appreciate,0.688,,0.425,0.425,0.688
appreciated,0.704,,0.575,0.575,0.704
assure,0.422,,0.35,0.35,0.422
awards,0.546,,0.5,0.5,0.546
awesome,0.734,,0.775,0.734,0.775
beautiful,0.688,,0.725,0.688,0.725
beauty,0.828,,0.7,0.7,0.828
best,0.812,,0.8,0.8,0.812
better,0.578,,0.475,0.475,0.578
brightening,0.532,,0.625,0.532,0.625
care,0.64,,0.55,0.55,0.64
certainty,0.454,,0.25,0.25,0.454
cheer,0.75,,0.575,0.575,0.75
cheers,0.626,,0.525,0.525,0.626
clearly,0.516,,0.425,0.425,0.516
compliment,0.656,,0.525,0.525,0.656
congrats,0.688,,0.6,0.6,0.688
congratulation,0.89,,0.725,0.725,0.89
congratulations,0.812,,0.725,0.725,0.812
cool,0.562,,0.325,0.325,0.562
cute,0.468,,0.5,0.468,0.5
dreams,0.468,,0.425,0.425,0.468
easy,0.812,,0.475,0.475,0.812
elegance,0.734,,0.525,0.525,0.734
elegant,0.75,,0.525,0.525,0.75
encouragement,0.812,,0.45,0.45,0.812
endorsement,0.484,,0.325,0.325,0.484
enjoy,0.688,,0.55,0.55,0.688
enjoyed,0.906,,0.575,0.575,0.906
enjoying,0.75,,0.6,0.6,0.75
entertaining,0.516,,0.475,0.475,0.516
excellence,0.782,,0.775,0.775,0.782
excited,0.64,,0.35,0.35,0.64
exciting,0.734,,0.55,0.55,0.734
fabulous,0.906,,0.6,0.6,0.906
fan,0.438,,0.325,0.325,0.438
fantastic,0.938,,0.65,0.65,0.938
favorite,0.75,,0.5,0.5,0.75
feeling,0.032,,0.125,0.032,0.125
fine,0.626,,0.2,0.2,0.626
fondly,0.562,,0.475,0.475,0.562
free,0.562,,0.575,0.562,0.575
fresh,0.61,,0.325,0.325,0.61
friend,0.484,,0.55,0.484,0.55
friends,0.578,,0.525,0.525,0.578
fun,0.766,,0.575,0.575,0.766
funny,0.626,,0.475,0.475,0.626
giggle,0.61,,0.45,0.45,0.61
glad,0.64,,0.5,0.5,0.64
good,0.656,,0.475,0.475,0.656
gorgeous,0.876,,0.75,0.75,0.876
gratitude,0.672,,0.575,0.575,0.672
great,0.734,,0.775,0.734,0.775
greetings,0.64,,0.45,0.45,0.64
grin,0.672,,0.525,0.525,0.672
ha,0.312,,0.35,0.312,0.35
haha,0.406,,0.5,0.406,0.5
hahaha,0.61,,0.65,0.61,0.65
happy,0.734,,0.675,0.675,0.734
help,0.11,,0.425,0.11,0.425
helpful,0.876,,0.45,0.45,0.876
hilarious,0.796,,0.425,0.425,0.796
honestly,0.296,,0.5,0.296,0.5
honored,0.704,,0.7,0.7,0.704
hope,0.734,,0.475,0.475,0.734
humor,0.454,,0.275,0.275,0.454
immune,0.266,,0.3,0.266,0.3
impressed,0.812,,0.525,0.525,0.812
innocent,0.39,,0.35,0.35,0.39
inspired,0.594,,0.55,0.55,0.594
inspiring,0.75,,0.45,0.45,0.75
interested,0.484,,0.425,0.425,0.484
